sentence_id,df_index,fre_generated,fre_reference,lix_generated,lix_reference,compression_generated,compression_reference,novelty_generated,novelty_reference,emotion_sim_generated,emotion_sim_reference,sari_vs_ref,bertscore_f1_vs_ref,dpo_score_generated,dpo_score_reference,generation_is_better
1,0,86.1243,87.9798,23.1905,16.1154,36.747,68.6747,7.6923,52.6316,0.9994,0.9999,41.0171,75.8465,66.802,89.8604,0
1,1,88.3938,87.9798,22.0613,16.1154,38.5542,68.6747,37.5,52.6316,0.9999,0.9999,39.3083,74.9469,67.9958,89.8604,0
1,2,79.4359,87.9798,27.454,16.1154,38.5542,68.6747,35.0,52.6316,0.9999,0.9999,38.1046,74.5937,66.6278,89.8604,0
1,3,89.4675,87.9798,26.7222,16.1154,89.1566,68.6747,22.2222,52.6316,0.9999,0.9999,35.1453,69.6258,67.4716,89.8604,0
2,4,81.9834,81.077,23.4039,15.5425,13.7681,75.3623,54.717,53.3333,0.3063,0.1364,37.0928,73.5515,48.829,67.9513,0
2,5,83.6629,81.077,21.8395,15.5425,28.9855,75.3623,43.9024,53.3333,0.9992,0.1364,39.1815,75.1175,67.4121,67.9513,1
2,6,90.765,81.077,19.3333,15.5425,78.2609,75.3623,55.5556,53.3333,0.8939,0.1364,38.6082,70.3796,66.9625,67.9513,1
2,7,81.9353,81.077,24.5588,15.5425,13.0435,75.3623,50.0,53.3333,0.996,0.1364,36.3225,71.8655,65.126,67.9513,1
3,8,80.2211,68.6845,26.3455,34.5326,32.4176,76.3736,16.9811,42.8571,0.4042,0.1498,39.6863,76.4612,51.5237,66.576,0
3,9,79.8395,68.6845,31.5835,34.5326,18.1319,76.3736,18.3333,42.8571,0.8622,0.1498,38.0676,74.9663,61.5346,66.576,1
3,10,80.9987,68.6845,27.3972,34.5326,33.5165,76.3736,27.0833,42.8571,0.654,0.1498,40.6367,74.4833,57.9858,66.576,0
3,11,79.4661,68.6845,25.0667,34.5326,76.9231,76.3736,23.5294,42.8571,0.3937,0.1498,37.1384,73.4403,52.2722,66.576,0
4,12,74.02,81.5616,32.2462,34.2681,31.8841,66.6667,23.8095,33.3333,0.9654,0.3163,50.0277,79.1221,68.1058,71.0641,1
4,13,75.063,81.5616,31.8833,34.2681,30.4348,66.6667,34.7826,33.3333,0.9969,0.3163,39.2488,74.448,65.925,71.0641,1
4,14,76.2752,81.5616,30.5,34.2681,36.2319,66.6667,30.0,33.3333,0.1592,0.3163,49.2358,76.6584,47.7751,71.0641,0
4,15,80.4267,81.5616,34.427,34.2681,46.3768,66.6667,27.7778,33.3333,0.8534,0.3163,45.0631,78.3244,65.6014,71.0641,1
5,16,89.5726,74.07,34.427,36.3333,19.5652,67.3913,21.0526,37.5,0.4427,0.9924,35.861,70.2317,50.3058,87.4618,0
5,17,80.105,74.07,39.0,36.3333,56.5217,67.3913,9.0909,37.5,0.1058,0.9924,38.1725,72.9687,43.4602,87.4618,0
5,18,73.9958,74.07,38.6941,36.3333,63.0435,67.3913,20.0,37.5,0.1547,0.9924,37.9445,72.6356,44.7978,87.4618,0
5,19,87.0141,74.07,26.7403,36.3333,4.3478,67.3913,38.8889,37.5,0.9923,0.9924,35.4017,71.0872,64.0986,87.4618,0
6,20,81.3201,78.4391,24.8715,27.1988,31.6456,70.8861,41.6667,58.8235,0.189,0.9771,43.0421,72.2846,46.8585,88.7562,0
6,21,88.8978,78.4391,21.7285,27.1988,41.1392,70.8861,24.1379,58.8235,0.1393,0.9771,37.5843,71.2314,44.5405,88.7562,0
6,22,79.8693,78.4391,27.5856,27.1988,45.5696,70.8861,43.3333,58.8235,0.9888,0.9771,41.1045,74.9826,67.8957,88.7562,0
6,23,85.2397,78.4391,23.147,27.1988,43.6709,70.8861,58.6207,58.8235,0.2516,0.9771,43.2803,70.6834,49.8141,88.7562,0
7,24,83.214,72.6623,20.4107,39.109,63.4328,64.1791,63.6364,47.619,0.0261,0.9991,42.3063,70.2133,44.8569,87.8345,0
7,25,75.2816,72.6623,34.9241,39.109,4.4776,64.1791,21.6667,47.619,0.9997,0.9991,38.213,70.4205,62.6081,87.8345,0
7,26,88.841,72.6623,26.1948,39.109,27.6119,64.1791,20.5882,47.619,0.999,0.9991,41.3815,70.3754,65.6591,87.8345,0
7,27,83.7487,72.6623,40.8529,39.109,74.6269,64.1791,50.0,47.619,0.9988,0.9991,39.0672,73.1262,69.3516,87.8345,0
8,28,84.2452,93.3281,27.9397,22.6189,33.3333,57.4713,34.6154,36.8421,0.9999,0.1021,39.6038,75.1961,67.3031,66.6015,1
8,29,86.7702,93.3281,26.3636,22.6189,19.5402,57.4713,38.7097,36.8421,1.0,0.1021,43.5115,74.2877,67.6004,66.6015,1
8,30,87.0109,93.3281,24.0014,22.6189,22.9885,57.4713,28.5714,36.8421,0.0075,0.1021,46.7508,73.4641,42.8907,66.6015,0
8,31,73.6194,93.3281,40.1508,22.6189,35.6322,57.4713,58.0645,36.8421,1.0,0.1021,36.2441,72.8734,66.1698,66.6015,1
9,32,97.8876,105.88,34.1989,18.3333,78.6207,79.3103,15.3846,41.1765,0.2106,0.2102,44.8354,79.1391,52.4628,71.8664,0
9,33,96.4321,105.88,34.427,18.3333,74.4828,79.3103,18.75,41.1765,0.0668,0.2102,43.2488,77.6264,47.9132,71.8664,0
