sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
1,0,45.697571,77.202982,81.196785,79.149538,90.088,21.0,54.819277,16.666667,0.999837,0.999884,0.999986,70.473462
1,1,42.860024,77.254486,78.789955,78.014672,95.029548,19.609351,69.277108,14.285714,0.996872,0.999884,0.996367,70.580802
1,2,40.986787,77.621615,73.595768,75.555098,96.445,17.071429,80.722892,18.75,0.999844,0.999884,0.999973,70.488862
1,3,39.036841,72.378266,75.42181,73.868698,87.73908,21.77167,48.192771,40.0,0.8199,0.999884,0.817253,63.655288
2,4,39.232552,68.865871,78.396118,73.322612,82.640294,22.892157,13.043478,31.914894,0.914367,0.136351,0.333879,63.276098
2,5,37.988828,70.587492,76.072502,73.227423,86.663182,19.636364,52.173913,30.769231,0.660685,0.136351,0.132379,58.917115
2,6,36.517603,69.335675,73.614877,71.411222,87.503342,22.500901,46.376812,31.25,0.623082,0.136351,0.482943,56.948411
2,7,36.84386,69.305933,77.557611,73.199952,84.95692,20.848214,23.913043,55.555556,0.760848,0.136351,0.193687,60.865447
3,8,38.90792,72.451717,80.487263,76.258385,80.465313,30.2125,31.318681,5.555556,0.404879,0.149842,0.04175,50.713531
3,9,43.691341,69.34557,76.781666,72.874415,75.066961,35.843137,43.956044,27.272727,0.403389,0.149842,0.010996,51.791286
3,10,38.295855,71.77546,78.597343,75.031656,81.365362,27.215321,36.813187,14.893617,0.395045,0.149842,0.008954,50.797614
3,11,41.118724,73.060858,78.151667,75.520569,80.926909,32.357576,63.736264,21.875,0.101453,0.149842,0.880186,45.806626
4,12,46.358107,76.772201,80.140644,78.420269,81.792697,28.434211,44.927536,23.529412,0.200344,0.316318,0.992779,49.415653
4,13,42.4877,73.216164,78.355044,75.698495,70.388452,37.261905,49.275362,30.434783,0.997293,0.316318,0.363911,67.181183
4,14,50.528474,76.825535,82.327771,79.481548,85.096667,28.25,30.434783,33.333333,0.292913,0.316318,0.999675,52.990082
4,15,39.322635,70.729434,72.903252,71.799892,99.825718,22.074713,57.971014,57.142857,0.998546,0.316318,0.323048,70.109691
5,16,34.526796,68.438751,70.434022,69.422054,84.258345,36.834483,36.956522,13.333333,0.95467,0.992411,0.91089,62.541914
5,17,35.800092,72.057974,72.297484,72.177529,80.981,42.488889,60.869565,0.0,0.289094,0.992411,0.273208,47.182234
5,18,35.324337,70.697653,70.562649,70.630085,86.972663,31.836957,50.0,18.181818,0.996702,0.992411,0.99911,65.277803
5,19,37.112878,71.464396,73.84758,72.636443,69.785,40.0,34.782609,21.428571,0.992295,0.992411,0.999998,63.813859
6,20,42.441748,71.879959,67.211264,69.467258,76.673632,23.389474,75.949367,46.666667,0.912184,0.977072,0.870979,65.946969
6,21,41.287202,67.968917,74.924505,71.277422,85.241742,30.395173,35.443038,33.333333,0.122341,0.977072,0.078122,44.696049
6,22,37.605159,67.962068,69.39342,68.670285,88.442944,25.491935,60.759494,65.0,0.139939,0.977072,0.036224,46.754363
6,23,37.511505,65.774769,72.978365,69.189578,86.289316,25.663277,25.316456,38.461538,0.205463,0.977072,0.147114,45.250976
7,24,40.165737,69.510877,70.944679,70.220459,89.338333,28.084656,19.402985,21.052632,0.999512,0.999135,0.999564,65.045175
7,25,42.939045,70.882326,71.874547,71.374989,89.232041,24.346939,26.865672,43.902439,0.999652,0.999135,0.999152,67.453906
7,26,34.124696,68.074071,64.687157,66.337413,88.477443,23.20362,49.253731,34.615385,0.999606,0.999135,0.999316,64.76615
7,27,39.289773,66.398799,66.368431,66.383618,87.569602,34.147727,58.955224,78.947368,0.024425,0.999135,0.008621,44.035764
8,28,46.657602,75.123805,75.210685,75.167215,87.267747,26.305233,50.574713,26.086957,0.999977,0.102122,0.10838,69.440972
8,29,46.201411,73.773557,78.351772,75.993776,90.031526,26.021053,12.643678,37.5,0.99878,0.102122,0.150807,68.532023
8,30,46.758743,70.790851,74.477482,72.587383,90.8535,26.690476,13.793103,30.769231,0.999998,0.102122,0.100206,67.450731
8,31,41.985127,70.497668,76.066637,73.176348,83.46317,25.202614,21.83908,40.0,0.042784,0.102122,0.998111,42.878965
9,32,39.284799,74.506176,77.021837,75.743121,88.66,40.111111,68.965517,15.789474,0.955983,0.210162,0.481622,67.58739
9,33,38.847506,74.936163,77.843106,76.361984,83.894,41.314894,67.586207,15.0,0.888651,0.210162,0.227577,65.418602
9,34,40.140319,72.971779,77.699131,75.261289,90.66141,33.666667,64.137931,26.315789,0.210746,0.210162,0.999993,49.478749
9,35,39.988881,75.099134,78.958189,76.980329,98.903129,29.58805,63.448276,40.909091,0.065341,0.210162,0.004357,47.843247
10,36,38.551683,70.068038,77.335083,73.522425,81.424079,25.289474,25.974026,32.55814,0.999973,0.024696,0.019792,65.871242
10,37,38.223726,69.58338,79.118383,74.045181,81.33881,26.47619,9.090909,19.230769,0.999963,0.024696,0.017214,64.46849
10,38,41.69559,70.23294,77.163994,73.535502,83.627008,25.178618,23.376623,36.170213,0.999867,0.024696,0.011276,66.769091
10,39,35.900142,69.324923,75.59889,72.326106,82.851186,27.072639,23.376623,36.734694,0.035375,0.024696,0.759762,41.080088
11,40,37.709729,75.289083,76.18435,75.734073,87.217957,23.300373,19.277108,44.0,0.521512,0.462553,0.997664,55.186149
11,41,44.397521,75.753176,75.821853,75.787497,92.471667,24.380952,34.939759,18.181818,0.989083,0.462553,0.560837,68.246078
11,42,34.454394,72.769392,71.780974,72.2718,92.646738,18.361854,38.554217,27.272727,0.538139,0.462553,0.861085,54.582592
11,43,36.947266,73.476219,71.03675,72.2359,70.629833,36.166667,69.879518,53.333333,0.195482,0.462553,0.108142,47.175015
12,44,34.892187,72.709429,72.236359,72.472125,80.781833,36.166667,67.948718,57.142857,0.999963,0.999999,0.999975,68.05207
12,45,34.77616,71.256226,71.150756,71.203446,78.807556,26.777778,67.948718,35.714286,0.999944,0.999999,0.999951,66.378792
12,46,34.106861,69.497609,73.403591,71.397209,90.088333,24.166667,48.717949,52.631579,0.666065,0.999999,0.667218,58.97915
12,47,36.944251,62.844473,65.041268,63.923997,82.547381,33.142857,-7.692308,38.095238,0.008787,0.999999,0.010327,36.564378
