sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
1,0,37.906127,70.890617,84.392393,77.054524,75.96216,28.57483,14.782609,12.820513,0.995984,0.988742,0.992379,64.690959
2,1,37.49028,67.927587,76.788294,72.08668,74.8575,36.833333,4.635762,14.893617,0.999985,0.999999,0.999979,62.640147
3,2,35.980161,71.017808,81.205237,75.770634,77.412114,29.520325,11.827957,33.333333,0.999991,0.999974,0.999995,64.994451
4,3,37.066759,70.051897,74.097115,72.017747,89.783378,24.084942,16.853933,27.586207,0.765367,0.576278,0.967037,59.364557
5,4,54.266547,86.235631,81.11701,83.598042,102.045,6.0,45.454545,28.571429,0.999272,0.141754,0.17936,74.835985
6,5,39.897203,72.444504,76.637381,74.481976,65.639683,32.016667,18.831169,12.0,0.942401,0.070237,0.399423,62.001376
7,6,32.927023,64.399183,66.184795,65.279782,83.066667,18.69697,2.222222,95.714286,0.999931,0.633177,0.63726,64.373546
8,7,35.703108,67.718345,76.791394,71.970046,73.376716,34.944563,7.586207,18.333333,1.0,0.999651,0.999649,62.42224
9,8,38.421049,69.666475,79.724991,74.357116,79.156581,26.532722,14.84375,30.952381,0.936215,0.673032,0.70752,63.669919
10,9,41.434998,71.541166,77.935636,74.601626,84.327395,22.360955,36.428571,20.689655,0.998737,0.292166,0.254203,66.95191
11,10,44.809981,72.719228,78.629643,75.559026,80.517349,25.398805,34.394904,18.421053,0.998351,0.080666,0.059048,67.304105
12,11,35.09071,66.746294,70.107329,68.385541,81.682714,28.988014,32.718894,19.230769,0.421744,0.78779,0.729053,48.851418
13,12,44.535129,74.411434,75.823545,75.110853,78.597727,40.25974,32.098765,27.272727,0.998771,0.999924,0.999128,67.239238
14,13,36.633533,68.91256,75.575924,72.090602,78.380471,24.303359,24.468085,38.77551,0.272097,0.989976,0.167819,46.787257
15,14,38.326495,69.778121,75.810874,72.669506,83.02,26.777778,41.048035,36.734694,0.436751,0.965984,0.628719,52.601053
16,15,37.55741,63.628477,71.874416,67.50055,78.672802,33.626374,-366.666667,81.818182,0.018092,0.999867,0.034316,21.888982
17,16,48.37702,79.167533,77.546179,78.348464,64.933333,36.943262,9.615385,40.0,0.633506,0.663958,0.854553,57.99338
18,17,45.188353,76.017094,80.0336,77.973658,71.971122,33.475891,-41.333333,28.205128,0.976954,0.998665,0.964632,63.40466
19,18,50.991034,71.206051,75.234669,73.164946,85.013,22.0,45.054945,25.0,0.999124,0.998961,0.999946,69.140925
20,19,39.493024,68.436444,73.979855,71.100265,85.078734,26.475588,13.186813,25.0,0.95325,0.997478,0.936633,63.498726
21,20,36.482103,67.022496,72.662842,69.728792,64.570769,39.923077,24.271845,22.5,0.999997,0.056827,0.054371,62.033427
22,21,37.534598,68.607342,72.46846,70.485061,76.158333,26.291667,11.111111,32.352941,0.457692,0.337493,0.986849,49.89435
23,22,40.023571,70.268375,75.688332,72.877723,66.99375,40.20098,5.555556,27.906977,0.999994,0.703124,0.705647,63.260497
24,23,44.04573,73.683536,78.489399,76.010585,95.479597,17.395545,14.678899,33.333333,0.83392,0.980802,0.923724,64.424076
25,24,39.435565,71.39554,77.35585,74.256283,79.19664,26.255061,14.414414,31.707317,0.999821,0.999903,0.999939,65.409148
